2024-01-16 17:27:52,624 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Configure stats pid to 40190
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Loading settings from /Users/yuduc2/.config/wandb/settings
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Loading settings from /Users/yuduc2/Desktop/JPmorgan project/LLMReasoningFinetuning/finetune/wandb/settings
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'finetune/finetune_HF_model.py', 'program_abspath': '/Users/yuduc2/Desktop/JPmorgan project/LLMReasoningFinetuning/finetune/finetune_HF_model.py', 'program': '/Users/yuduc2/Desktop/JPmorgan project/LLMReasoningFinetuning/finetune/finetune_HF_model.py'}
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:_log_setup():526] Logging user logs to /Users/yuduc2/Desktop/JPmorgan project/LLMReasoningFinetuning/finetune/wandb/run-20240116_172752-djlz17rt/logs/debug.log
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/yuduc2/Desktop/JPmorgan project/LLMReasoningFinetuning/finetune/wandb/run-20240116_172752-djlz17rt/logs/debug-internal.log
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:init():566] calling init triggers
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'model': 'tiiuae/falcon-7b-instruct', 'dataset': 'yc4142/bias-CoT'}
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:init():616] starting backend
2024-01-16 17:27:52,625 INFO    MainThread:40190 [wandb_init.py:init():620] setting up manager
2024-01-16 17:27:52,626 INFO    MainThread:40190 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-16 17:27:52,639 INFO    MainThread:40190 [wandb_init.py:init():628] backend started and connected
2024-01-16 17:27:52,656 INFO    MainThread:40190 [wandb_init.py:init():720] updated telemetry
2024-01-16 17:27:52,680 INFO    MainThread:40190 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-16 17:27:52,978 INFO    MainThread:40190 [wandb_run.py:_on_init():2254] communicating current version
2024-01-16 17:27:53,209 INFO    MainThread:40190 [wandb_run.py:_on_init():2263] got version response 
2024-01-16 17:27:53,209 INFO    MainThread:40190 [wandb_init.py:init():804] starting run threads in backend
2024-01-16 17:27:53,248 INFO    MainThread:40190 [wandb_run.py:_console_start():2233] atexit reg
2024-01-16 17:27:53,248 INFO    MainThread:40190 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-16 17:27:53,248 INFO    MainThread:40190 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-16 17:27:53,248 INFO    MainThread:40190 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-16 17:27:53,249 INFO    MainThread:40190 [wandb_init.py:init():847] run started, returning control to user process
2024-01-16 17:28:00,749 WARNING MsgRouterThr:40190 [router.py:message_loop():77] message_loop has been closed
